Name,Scientific Name,Conservation Status,Color,Distinctive Features,Size,Habitat,Behavior,Diet,Calls,Range
Red-vented Bulbul,Pycnonotus cafer,Least Concern,"Dark, black crest, white rump, red under tail","Black crest, white rump, red vent under tail","	Medium-sized",Often seen high in trees or perched on wires in urban and rural areas; generally prefers scrubby edge habitat instead of dense forest,Conspicuous and sometimes gregarious,"Eats fruit, flower buds, and insects",Calls include a variety of chirps and whistles,"Native to South and Southeast Asia. Introduced to Kuwait, Qatar, UAE, Oman, and some Polynesian islands, including Hawaii"
Blue-tailed Bee-eater,"	Merops philippinus","	Least Concern","Green, blue tail, black mask, rufous throat, rufous underwings","Thin black mask, rufous throat, elongated central tail feathers (in adults), broad and sharply pointed wings, long tail, and long bill",Unknown,Open country,Frequently seen in flight or perched on exposed snags or telephone wires,Unknown,"Voice a sweet, clipped “cheer-it,” sometimes given in series",Unknown
White-throated Kingfisher,Halcyon smyrnensis,Least Concern,"Brown, electric-blue back and wings, red bill, snow-white patch","Large head, electric-blue back and wings, heavy red bill, snow-white throat patch",Unknown,"Near wetlands, lakes, agricultural fields, and clearings","Frequently seen perched on fence posts and telephone lines; gives jarring, raptor-like descending trills and cackles, often in flight",Unknown,"Jarring, raptor-like descending trills and cackles",Unknown
Gray-headed Swamphen,Porphyrio poliocephalus,Unknown,"Bluish-purple, red bill, red legs, white “underpants”","Red bill and forehead shield, red legs and feet with long toes, fluffy white “underpants”",Very large,"Marshy, vegetated freshwater bodies such as swamps, rivers, and lakes","Often clumsy, feeds at muddy water edges, in reeds, and on floating vegetation; usually in small groups",Unknown,Makes short nasal grunts and croaking sounds,Unknown
White-breasted Waterhen,Amaurornis phoenicurus,Least Concern,"Dark slaty above, white below, rusty patch under the tail","Chickenlike appearance, rusty patch under the tail",Medium-sized,"Meadows, ditches, riversides, marshes, parks, and farmlands",Often seen foraging in the open; often found in close proximity to humans,Unknown,"Remarkably variable song, a series of hooting, grunting, or rasping notes or phrases, repeated monotonously, often from an exposed perch",Unknown
Red-wattled Lapwing,Vanellus indicus,Least Concern,"Black breast and throat, red bill with black tip, red wattles, white cheek patch, black and white wings","Red wattles in front of the eyes, red bill with black tip, black breast and throat, white cheek patch",Unknown,"Found around water bodies, agricultural fields, and dry land",Usually found in small groups; runs a short distance to pick up food from the ground,Primarily insects,"Known for its characteristic loud alarm call, often compared to the words ""Did we do it?""",Unknown
Little Cormorant,Microcarbo niger,Least Concern,"All black, with white plumes on the sides of the head (in breeding adults)","Flat head, sharply hooked bill, small size compared to other cormorants",Smallest of the cormorants found in the region,Inland water bodies,"Frequently seen swimming with its body low in the water, often perches upright on a rock to dry itself with outstretched wings",Fish,No information available,Unknown
Black-headed Ibis,Threskiornis melanocephalus,Near Threatened,"White body, black head and neck, grayish tail feathers","Bare black head and neck, down-curved black bill",Large,"Wetlands, agricultural fields, coastal areas, dry fields, and human-modified landscapes","Probes into mud and shallow water with its long, down-curved bill, sometimes submerging its entire head while foraging",Unknown,No information available,Unknown
Indian Pond-Heron,Ardeola grayii,Least Concern,"Dark reddish brown back (breeding), yellowish head, neck, and breast (breeding), white wings, underparts, and tail (in flight)","Dark reddish brown back, yellowish head, neck, and breast in breeding plumage; strikingly white in flight",Small,Aquatic habitats across the Indian subcontinent,"Solitary, but large numbers gather where food is plentiful; prone to seasonally local movements and vagrancy",Unknown,No information available,Unknown
Little Egret,Egretta garzetta,Unknown,"Snow-white, dark bill, blackish legs, yellowish feet","Wispy head plumes and white plumes on the lower back in breeding adults; slender dark bill, yellowish feet (""golden slippers"")",Small,"Wetlands, lakes, rivers, marshes, estuaries",Occurs as singles or in small loose groups; nests and roosts communally,Small fish,No information available,Unknown
Purple Heron,Ardea purpurea,Least Concern,"Rusty head, streaky neck, rusty brown upperparts (juvenile)","Rusty head and streaky neck, extensively rusty brown on upperparts (juvenile)",Large,Fresh marshes with tall reeds and other vegetation,Often more retiring than Gray Heron; rarely seen in open situations,Unknown,No information available,Unknown
Brahminy Kite,Haliastur indus,Least Concern,"White head and breast, brick brown plumage, brownish-black (juveniles)","Rounded tail, white head and breast contrasting with brick brown plumage",Medium-sized,Inland and coastal wetlands in tropical Asia; restricted to coastal wetlands in Australia,No information available,Unknown,"Distinctive nasal, drawn-out call, ""Kyeeerrrh""",Tropical Asia and coastal wetlands in Australia
Rose-ringed Parakeet,Psittacula krameri,Least Concern,"Bright green, red bill, black-and-pink neck ring (male)","Long slender tail, bright red bill, narrow black-and-pink neck ring in males",Unknown,"Woodland, parks, gardens","Nests in cavities, including holes in buildings; raucous and social, often appearing in noisy groups",Feeds mainly in trees,Sharp screeching calls,"Native to Africa and South Asia, introduced worldwide, including Europe, the Caribbean, Japan, and Hawaii"
Brown-headed Barbet,Psilopogon zeylanicus,Least Concern,"Green wings, brown head and throat, white speckling on shoulders, yellow facial skin, brown-yellow bill turning orange-red when breeding","Prominent pale streaks on brown head and breast, white speckling on shoulders",Unknown,Prefers drier woodlands,Heard more often than seen,Unknown,"""Kutrook-kutrook-kutrook,"" mellow and sonorous, less sharp than White-cheeked Barbet's call",Unknown
Spotted Dove,Spilopelia chinensis,Unknown,"Brown overall, rosy breast, white-spotted black nape patch",White-spotted black nape patch,Unknown,"Open forests, fields, and parks; introduced to several regions around the world",Often tame and approachable; coos loudly and often,Unknown,“Coo-a-roooo”,Much of Asia; introduced to several regions around the world
Asian Koel,Eudynamys scolopaceus,Unknown,"Glossy black (males), blackish brown with white dots on wings (females and immatures), ruby-red eyes","Dull lime-green bill (males), white dots on wings and streaking on head and throat (females and immatures)",Large,"Interior of dense trees in many habitats, including inner cities and fields","Usually secretive; females lay eggs in the nests of other large birds like crows, shrikes, and starlings",Unknown,"Loud, persistent “ko-EL!” similar to a peacock’s call",Unknown
Common Tailorbird,Orthotomus sutorius,Least Concern,"Green back, reddish crown",Long bill; builds nest by stitching leaves together,Unknown,"Parks, gardens, and wooded areas across South and Southeast Asia",Known for stitching leaves together to build nests; “tuii-tuii…” and “whee-whee…” calls are often part of daily life sounds in human habitation,Unknown,Loud “tuii-tuii…” and “whee-whee…”,South and Southeast Asia
Yellow-billed Babbler,Argya affinis,Least Concern,"Pale spot in front of eyes, pale crown, dark throat and cheeks, pale blue eyes, pale base to the tail","Pale spot in front of eyes, pale crown contrasting with dark throat and cheeks, blank-faced appearance",Unknown,Prefers drier habitats than the Jungle Babbler,Gregarious and noisy,Unknown,No information available,Southern India and Sri Lanka
White-bellied Drongo,Dicrurus caerulescens,Least Concern,"Dull-black back, dark gray throat and breast, white belly (white-bellied form)","Distinctively forked tail, white belly in white-bellied form",Small,Dry and open forests across the Indian subcontinent,No information available,Unknown,No information available,Indian subcontinent
Black-hooded Oriole,Oriolus xanthornus,Least Concern,"Yellow body, black head and breast, black flight feathers, red bill","Black head and breast, black band towards the tail tip in flight",Medium-sized,"Wooded gardens, groves, and open forests",Often feeds on fruiting trees with a preference for figs,Figs and other fruits,"Rich, fluty, and mellow; includes raspy, nasal notes that can sound like a croak",Unknown
Pied Kingfisher,Ceryle rudis,Least Concern,"Black and white, all-dark bill","Short, bushy crest; glossy all-dark bill; distinctly patterned head and breast",Unknown,Waterside habitats from lakes to estuaries to mangroves,Often hovers over water when seeking prey; frequently seen perched in pairs or small groups,Unknown,"Variety of sharp notes, as well as dry trilling and rattling calls",Unknown
Greater Coucal,Centropus sinensis,Least Concern,"Largely black, rusty wings, glossy underparts, black tail, red eyes","Long and heavy black tail, deep red eyes, rusty wings, glossy underparts",Large,Common across a range of habitats except very dense forests,Similar to Lesser Coucal; lacks white streaks on wings seen on Lesser Coucal,Unknown,"Series of deep, resonant “oop-oop-oop” notes",Unknown
Rock Pigeon,Columba livia,Least Concern,"Pale gray with two bold black wingbars, iridescent purple and green on neck","Variable plumage; some identical to wild-type, others can be completely black, white, or orangey-brown",Fairly large,Cliffs and caves from western Europe to central Asia; cities and farmland,Often in large flocks,Unknown,No information available,Worldwide (wild and feral populations)
Lesser Whistling-Duck,Dendrocygna javanica,Least Concern,"Pale brown with darker brown crown and nape, chestnut underparts, chestnut-fringed feathers on the back, faint orange-yellow eyering, dark gray bill and legs","Chestnut-fringed feathers, orange-yellow eyering",Small,Shallow water bodies with abundant vegetation,"Gregarious, often found in flocks; flies with rapid wingbeats on broad dark wings",Unknown,Wheezy whistling “seasick-seasick”,Unknown
Asian Palm Swift,Cypsiurus balasiensis,Least Concern,"Gray-brown, darker above and paler below","Long thin wings, heavily-forked tail",Small,Mostly seen over open areas such as fields and agricultural land; partial to areas with palms on which they breed,"Seen in rapid fluttering flight, often making trilling “tiriririree” calls while foraging in pairs or loose flocks",Insects,Trilling “tiriririree”,Unknown
