Name,Scientific Name,Conservation Status,Distinctive Features,Size,Habitat,Behavior,Range
red-vented bulbul,pycnonotus cafer,least concern,"black crest, white rump, red vent under tail",medium-sized,often seen high in trees or perched on wires in urban and rural areas; generally prefers scrubby edge habitat instead of dense forest,conspicuous and sometimes gregarious,"native to south and southeast asia. introduced to kuwait, qatar, uae, oman, and some polynesian islands, including hawaii"
blue-tailed bee-eater,merops philippinus,least concern,"thin black mask, rufous throat, elongated central tail feathers (in adults), broad and sharply pointed wings, long tail, and long bill",a bird of varying sizes,open country,frequently seen in flight or perched on exposed snags or telephone wires,several regions around the world
white-throated kingfisher,halcyon smyrnensis,least concern,"large head, electric-blue back and wings, heavy red bill, snow-white throat patch",a bird of varying sizes,"near wetlands, lakes, agricultural fields, and clearings","frequently seen perched on fence posts and telephone lines; gives jarring, raptor-like descending trills and cackles, often in flight",several regions around the world
gray-headed swamphen,porphyrio poliocephalus,not well-documented,"red bill and forehead shield, red legs and feet with long toes, fluffy white “underpants”",very large,"marshy, vegetated freshwater bodies such as swamps, rivers, and lakes","often clumsy, feeds at muddy water edges, in reeds, and on floating vegetation; usually in small groups",several regions around the world
white-breasted waterhen,amaurornis phoenicurus,least concern,"chickenlike appearance, rusty patch under the tail",medium-sized,"meadows, ditches, riversides, marshes, parks, and farmlands",often seen foraging in the open; often found in close proximity to humans,several regions around the world
red-wattled lapwing,vanellus indicus,least concern,"red wattles in front of the eyes, red bill with black tip, black breast and throat, white cheek patch",a bird of varying sizes,"found around water bodies, agricultural fields, and dry land",usually found in small groups; runs a short distance to pick up food from the ground,several regions around the world
little cormorant,microcarbo niger,least concern,"flat head, sharply hooked bill, small size compared to other cormorants",smallest of the cormorants found in the region,inland water bodies,"frequently seen swimming with its body low in the water, often perches upright on a rock to dry itself with outstretched wings",several regions around the world
black-headed ibis,threskiornis melanocephalus,near threatened,"bare black head and neck, down-curved black bill",large,"wetlands, agricultural fields, coastal areas, dry fields, and human-modified landscapes","probes into mud and shallow water with its long, down-curved bill, sometimes submerging its entire head while foraging",several regions around the world
indian pond-heron,ardeola grayii,least concern,"dark reddish brown back, yellowish head, neck, and breast in breeding plumage; strikingly white in flight",small,aquatic habitats across the indian subcontinent,"solitary, but large numbers gather where food is plentiful; prone to seasonally local movements and vagrancy",several regions around the world
little egret,egretta garzetta,not well-documented,"wispy head plumes and white plumes on the lower back in breeding adults; slender dark bill, yellowish feet (""golden slippers"")",small,"wetlands, lakes, rivers, marshes, estuaries",occurs as singles or in small loose groups; nests and roosts communally,several regions around the world
purple heron,ardea purpurea,least concern,"rusty head and streaky neck, extensively rusty brown on upperparts (juvenile)",large,fresh marshes with tall reeds and other vegetation,often more retiring than gray heron; rarely seen in open situations,several regions around the world
brahminy kite,haliastur indus,least concern,"rounded tail, white head and breast contrasting with brick brown plumage",medium-sized,inland and coastal wetlands in tropical asia; restricted to coastal wetlands in australia,no information available,tropical asia and coastal wetlands in australia
rose-ringed parakeet,psittacula krameri,least concern,"long slender tail, bright red bill, narrow black-and-pink neck ring in males",a bird of varying sizes,"woodland, parks, gardens","nests in cavities, including holes in buildings; raucous and social, often appearing in noisy groups","native to africa and south asia, introduced worldwide, including europe, the caribbean, japan, and hawaii"
brown-headed barbet,psilopogon zeylanicus,least concern,"prominent pale streaks on brown head and breast, white speckling on shoulders",a bird of varying sizes,prefers drier woodlands,heard more often than seen,several regions around the world
spotted dove,spilopelia chinensis,not well-documented,white-spotted black nape patch,a bird of varying sizes,"open forests, fields, and parks; introduced to several regions around the world",often tame and approachable; coos loudly and often,much of asia; introduced to several regions around the world
asian koel,eudynamys scolopaceus,not well-documented,"dull lime-green bill (males), white dots on wings and streaking on head and throat (females and immatures)",large,"interior of dense trees in many habitats, including inner cities and fields","usually secretive; females lay eggs in the nests of other large birds like crows, shrikes, and starlings",several regions around the world
common tailorbird,orthotomus sutorius,least concern,long bill; builds nest by stitching leaves together,a bird of varying sizes,"parks, gardens, and wooded areas across south and southeast asia",known for stitching leaves together to build nests; “tuii-tuii…” and “whee-whee…” calls are often part of daily life sounds in human habitation,south and southeast asia
yellow-billed babbler,argya affinis,least concern,"pale spot in front of eyes, pale crown contrasting with dark throat and cheeks, blank-faced appearance",a bird of varying sizes,prefers drier habitats than the jungle babbler,gregarious and noisy,southern india and sri lanka
white-bellied drongo,dicrurus caerulescens,least concern,"distinctively forked tail, white belly in white-bellied form",small,dry and open forests across the indian subcontinent,no information available,indian subcontinent
black-hooded oriole,oriolus xanthornus,least concern,"black head and breast, black band towards the tail tip in flight",medium-sized,"wooded gardens, groves, and open forests",often feeds on fruiting trees with a preference for figs,several regions around the world
pied kingfisher,ceryle rudis,least concern,"short, bushy crest; glossy all-dark bill; distinctly patterned head and breast",a bird of varying sizes,waterside habitats from lakes to estuaries to mangroves,often hovers over water when seeking prey; frequently seen perched in pairs or small groups,several regions around the world
greater coucal,centropus sinensis,least concern,"long and heavy black tail, deep red eyes, rusty wings, glossy underparts",large,common across a range of habitats except very dense forests,similar to lesser coucal; lacks white streaks on wings seen on lesser coucal,several regions around the world
rock pigeon,columba livia,least concern,"variable plumage; some identical to wild-type, others can be completely black, white, or orangey-brown",fairly large,cliffs and caves from western europe to central asia; cities and farmland,often in large flocks,worldwide (wild and feral populations)
lesser whistling-duck,dendrocygna javanica,least concern,"chestnut-fringed feathers, orange-yellow eyering",small,shallow water bodies with abundant vegetation,"gregarious, often found in flocks; flies with rapid wingbeats on broad dark wings",several regions around the world
asian palm swift,cypsiurus balasiensis,least concern,"long thin wings, heavily-forked tail",small,mostly seen over open areas such as fields and agricultural land; partial to areas with palms on which they breed,"seen in rapid fluttering flight, often making trilling “tiriririree” calls while foraging in pairs or loose flocks",several regions around the world
